DC Bias Voltage (mV), DC Tunneling Current (mA)
0.657564, 0.013161
0.659175, 0.013209
0.661753, 0.013193
0.663686, 0.013209
0.666585, 0.013257
0.668518, 0.013209
0.671096, 0.013241
0.672385, 0.013225
0.675284, 0.013257
0.676895, 0.013274
0.679795, 0.013257
0.682050, 0.013257
0.683983, 0.013290
0.686883, 0.013306
0.689138, 0.013338
0.690749, 0.013322
0.693326, 0.013338
0.695904, 0.013338
0.697515, 0.013354
0.700092, 0.013370
0.702348, 0.013370
0.704281, 0.013338
0.706536, 0.013370
0.708791, 0.013418
0.711046, 0.013418
0.713302, 0.013435
0.715557, 0.013435
0.717490, 0.013418
0.719423, 0.013451
0.721678, 0.013467
0.724256, 0.013499
0.726511, 0.013499
0.728766, 0.013515
0.731666, 0.013515
0.733599, 0.013563
0.735532, 0.013531
0.737465, 0.013547
0.740365, 0.013547
0.741654, 0.013580
0.744231, 0.013612
0.746809, 0.013612
0.749708, 0.013644
0.750997, 0.013660
0.753252, 0.013660
0.755830, 0.013676
0.758085, 0.013676
0.760018, 0.013692
0.761951, 0.013725
0.764528, 0.013708
0.766462, 0.013741
0.768717, 0.013773
0.770650, 0.013821
0.773550, 0.013773
0.776127, 0.013837
0.778060, 0.013821
0.779993, 0.013853
0.782571, 0.013837
0.784182, 0.013837
0.786437, 0.013886
0.789336, 0.013886
0.791270, 0.013934
0.793525, 0.013934
0.796102, 0.013966
0.798358, 0.014015
0.800935, 0.014031
0.802224, 0.014031
0.804157, 0.014063
0.806412, 0.014063
0.809312, 0.014127
0.811889, 0.014143
0.813178, 0.014160
0.815433, 0.014160
0.817688, 0.014208
0.819944, 0.014208
0.822843, 0.014288
0.824776, 0.014288
0.827032, 0.014337
0.829287, 0.014353
0.831864, 0.014369
0.833797, 0.014385
0.835731, 0.014482
0.838308, 0.014498
0.840241, 0.014578
0.842819, 0.014562
0.844752, 0.014611
0.847007, 0.014675
0.849584, 0.014707
0.850873, 0.014756
0.853451, 0.014788
0.856350, 0.014852
0.857961, 0.014884
0.860861, 0.014933
0.862149, 0.014949
0.865049, 0.015029
0.866338, 0.015110
0.869560, 0.015126
0.871493, 0.015207
0.873748, 0.015255
0.876325, 0.015319
0.878258, 0.015384
0.880514, 0.015448
0.882769, 0.015545
0.885024, 0.015577
0.887602, 0.015642
0.889857, 0.015738
0.891468, 0.015754
0.893401, 0.015851
0.895656, 0.015931
0.898556, 0.015980
0.900489, 0.016028
0.902744, 0.016141
0.905644, 0.016189
0.907577, 0.016270
0.909510, 0.016334
0.911765, 0.016399
0.913698, 0.016463
0.916598, 0.016560
0.918531, 0.016592
0.920786, 0.016705
0.923364, 0.016801
0.924975, 0.016834
0.927552, 0.016914
0.929163, 0.016995
0.931741, 0.017107
0.934318, 0.017156
0.935929, 0.017269
0.938184, 0.017317
0.940117, 0.017381
0.943339, 0.017494
0.944306, 0.017542
0.947527, 0.017623
0.949783, 0.017703
0.952038, 0.017752
0.953971, 0.017848
0.955582, 0.017913
0.958804, 0.017993
0.960737, 0.018090
0.962992, 0.018155
0.965570, 0.018251
0.967825, 0.018300
0.970080, 0.018380
0.971691, 0.018493
0.974591, 0.018541
0.976524, 0.018638
0.978779, 0.018702
0.981357, 0.018767
0.982967, 0.018847
0.984901, 0.018928
0.987478, 0.018976
0.989733, 0.019057
0.991344, 0.019089
0.994566, 0.019186
0.996177, 0.019266
0.998754, 0.019347
1.001332, 0.019379
1.003265, 0.019492
1.005520, 0.019540
1.007775, 0.019620
